"attr","byline","corporate","individual","quote","updated"
"Scripture quotations marked (NIrV) are taken from the Holy Bible, New International Reader’s Version®, NIrV® Copyright © 1995, 1996, 1998, 2014 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIrV” and “New International Reader’s Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Isaiah 12:4-6 (NIrV)","","","Give praise to the Lord. Make his name known.
Tell the nations what he has done.
Announce how honored he is.
Sing to the Lord. He has done glorious things.
Let it be known all over the world.
People of Zion, give a loud shout!
Sing for joy!
The Holy One of Israel is among you.
And he is great.",""
"","John Chrysostom, 347–407","We are not worthy, Master and Lord, that you should come beneath the roof of our souls; yet since in your love toward all, you wish to dwell in us, in boldness we come. You command; open the gates, which you alone have made. And you will come in, and enlighten our darkened reasoning.
We believe that you will do this; for you did not send away the harlot who came to you with tears, nor cast out the repenting tax-collector, nor reject the thief who acknowledged your kingdom. But you counted all of these as members of your band of friends.
You are blessed for evermore.
Amen.","I am not worthy, Master and Lord, that you should come beneath the roof of my soul; yet since in your love toward all, you wish to dwell in me, in boldness I come. You command; open the gates, which you alone have made. And you will come in, and enlighten my darkened reasoning.
I believe that you will do this; for you did not send away the harlot who came to you with tears, nor cast out the repenting tax-collector, nor reject the thief who acknowledged your kingdom. But you counted all of these as members of your band of friends.
You are blessed for evermore.
Amen.","I am not worthy, Master and Lord, that you should come beneath the roof of my soul; yet since in your love toward all, you wish to dwell in me, in boldness I come. You command; open the gates, which you alone have made. And you will come in, and enlighten my darkened reasoning.
I believe that you will do this; for you did not send away the harlot who came to you with tears, nor cast out the repenting tax-collector, nor reject the thief who acknowledged your kingdom. But you counted all of these as members of your band of friends.
You are blessed for evermore.
Amen.",""
"","An Ancient Collect, 5th Century","","","Grant us, O Lord, not to mind earthly things, but to love things heavenly; and even now, while we are placed among things that are passing away, to cleave to those that shall abide; through Jesus Christ our Lord. Amen.",""
"Scripture quotations marked (NIV) are taken from the Holy Bible, New International Version®, NIV®. Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIV” and “New International Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","1 Thessalonians 5:15 (NIV)","Let us not pay back wrong for wrong, but always strive to do what is good for others.","Let me not pay back wrong for wrong, but always strive to do what is good for others.","Make sure that nobody pays back wrong for wrong, but always strive to do what is good for each other and for everyone else.","1/24\/23"
"","A Puritan Prayer","O Lord,
We marvel that you would become incarnate,
be crucified, dead, and buried.
The sepulcher calls forth our adoring wonder,
for it is empty and you are risen;
the four-fold gospel attests it,
the living witnesses prove it,
our heart's experience knows it.
Allow us to die with you that we may rise to new life,
for we wish to be as dead and buried to sin, to selfishness, to the world;
that we might not hear the voice of the charmer,
and might be delivered from his lusts.
O Lord, there is much ill about usâ€”crucify it,
much flesh within usâ€”mortify it.
Purge us from selfishness, the fear of man, the love of approbation,
the shame of being thought old-fashioned,
the desire to be cultivated or modern.
Let us reckon our old life dead because of crucifixion,
and never feed it as a living thing.
Grant us to stand with our dying Savior,
to be content to be rejected,
to be willing to take up unpopular truths,
and to hold fast despised teachings until death.
Help us to be resolute and Christ-contained.
Never let us wander from the path of obedience to your will.
Strengthen us for the battles ahead.
Give us courage for all the trials, and grace for all the joys.
Help us to be holy, happy people,Â 
free from every wrong desire,
from everything contrary to your mind.
Grant us more and more of the resurrection life:
may it rule us,
may we walk in its power, and be strengthened through its influence.
Amen.Â ","O Lord,
I marvel that you would become incarnate,
be crucified, dead, and buried.
The sepulcher calls forth my adoring wonder,
for it is empty and you are risen;
the four-fold gospel attests it,
the living witnesses prove it,
my heart's experience knows it.
Allow me to die with you that I may rise to new life,
for I wish to be as dead and buried to sin, to selfishness, to the world;
that I might not hear the voice of the charmer,
and might be delivered from his lusts.
O Lord, there is much ill about meâ€”crucify it,
much flesh within meâ€”mortify it.
Purge me from selfishness, the fear of man, the love of approbation,
the shame of being thought old-fashioned,
the desire to be cultivated or modern.
Let me reckon my old life dead because of crucifixion,
and never feed it as a living thing.
Grant me to stand with my dying Savior,
to be content to be rejected,
to be willing to take up unpopular truths,
and to hold fast despised teachings until death.
Help me to be resolute and Christ-contained.
Never let me wander from the path of obedience to your will.
Strengthen me for the battles ahead.
Give me courage for all the trials, and grace for all the joys.
Help me to be a holy, happy person,Â 
free from every wrong desire,
from everything contrary to your mind.
Grant me more and more of the resurrection life:
may it rule me,
may I walk in its power, and be strengthened through its influence.
Amen.Â ","O Lord,
I marvel that you would become incarnate,
be crucified, dead, and buried.
The sepulcher calls forth my adoring wonder,
for it is empty and you are risen;
the four-fold gospel attests it,
the living witnesses prove it,
my heart's experience knows it.
Allow me to die with you that I may rise to new life,
for I wish to be as dead and buried to sin, to selfishness, to the world;
that I might not hear the voice of the charmer,
and might be delivered from his lusts.
O Lord, there is much ill about meâ€”crucify it,
much flesh within meâ€”mortify it.
Purge me from selfishness, the fear of man, the love of approbation,
the shame of being thought old-fashioned,
the desire to be cultivated or modern.
Let me reckon my old life dead because of crucifixion,
and never feed it as a living thing.
Grant me to stand with my dying Savior,
to be content to be rejected,
to be willing to take up unpopular truths,
and to hold fast despised teachings until death.
Help me to be resolute and Christ-contained.
Never let me wander from the path of obedience to your will.
Strengthen me for the battles ahead.
Give me courage for all the trials, and grace for all the joys.
Help me to be a holy, happy person,Â 
free from every wrong desire,
from everything contrary to your mind.
Grant me more and more of the resurrection life:
may it rule me,
may I walk in its power, and be strengthened through its influence.
Amen.Â ",""
"","Clement of Rome, 35–99","","","May God, who sees all things, and who is the Ruler of all spirits and the Lord of all flesh - who chose our Lord Jesus Christ and us through Him to be a peculiar people - grant to every soul that calls upon His glorious and holy Name, faith, peace, patience, long-suffering, self-control, purity, and sobriety, to the well-pleasing of His Name, through our High Priest and Protector, Jesus Christ, by whom be to Him glory, and majesty, and power, and honor, both now and forevermore. Amen.",""
"An Ignatian prayer adapted from _The Words We Pray_ by Amy Welborn","""The Suscipe"" by St. Ignatius of Loyola, 1491–1556","","","Take Lord, and receive all my liberty, my memory, my understanding, and my entire will, all that I have and possess. Thou hast given all to me. To Thee, O Lord, I return it. All is Thine, dispose of it wholly according to Thy will. Give me Thy love and Thy grace, for this is sufficient for me.",""
"Adapted from Prayers of the Early Church, edited by J. Manning Potts, 1953","The Clementine Liturgy","Blessed are you, O Lord,
for you have nourished us from our youth
and you give food to all flesh.
Fill our hearts with joy and gladness
that we always have sufficiency in all things,
and may abound to every good work
in Christ Jesus our Lord;
through him be glory to you,
honor, might, majesty, and dominion,
forever and ever.Â Amen.","Blessed are you, O Lord,
for you have nourished me from my youth
and you give food to all flesh.
Fill my heart with joy and gladness
that I always have sufficiency in all things,
and may abound to every good work
in Christ Jesus our Lord;
through him be glory to you,
honor, might, majesty, and dominion,
forever and ever.Â Amen.","Blessed are you, O Lord,
for you have nourished me from my youth
and you give food to all flesh.
Fill our hearts with joy and gladness
that we always have sufficiency in all things,
and may abound to every good work
in Christ Jesus our Lord;
through him be glory to you,
honor, might, majesty, and dominion,
forever and ever.Â Amen.",""
"Scripture quotations marked (NIV) are taken from the Holy Bible, New International Version®, NIV®. Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIV” and “New International Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Romans 15:5-6 (NIV)","May the God who gives endurance and encouragement give us the same attitude of mind toward each other that Christ Jesus had, so that with one mind and one voice we may glorify the God and Father of our Lord Jesus Christ.","May the God who gives endurance and encouragement give me the same attitude of mind toward those around me that Christ Jesus had, so that with one mind and one voice we may glorify the God and Father of our Lord Jesus Christ.","May the God who gives endurance and encouragement give you the same attitude of mind toward each other that Christ Jesus had, so that with one mind and one voice you may glorify the God and Father of our Lord Jesus Christ.","8/1\/22"
"","The Clementine Liturgy","","","O God Almighty, Father of our Lord Jesus Christ, Your only begotten Son, give me a body unstained, a pure heart, a watchful mind, and an upright understanding, and the presence of Your Holy Spirit, that I may obtain and ever hold fast to an unshaken faith in Your Truth, through Jesus Christ, Your Son, our Lord; through whom be glory to You in the Holy Spirit, forever and ever.",""
