"attr","byline","corporate","individual","quote","updated"
"","Henri Nouwen, 1932–1996","Dear Lord,
Help us keep our eyes on you. You are the incarnation of Divine Love, you are the expression of God's infinite compassion, you are the visible manifestation of the Father's holiness. You are beauty, goodness, gentleness, forgiveness, and mercy. In you all can be found. Outside of you nothing can be found. Why should we look elsewhere or go elsewhere? You have the words of eternal life, you are food and drink, you are the Way, the Truth, and the Life. You are the light that shines in the darkness, the lamp on the lampstand, the house on the hilltop. You are the perfect Icon of God. In and through you we can see the Heavenly Father, and with you we can find our way to him. O Holy One, Beautiful One, Glorious One, be our Lord, our Savior, our Redeemer, our Guide, our Consoler, our Comforter, our Hope, our Joy, and our Peace. To you we want to give all that we are. Let us be generous, not stingy or hesitant. Let us give you allâ€”all that we have, think, do, and feel. It is all yours, O Lord. Please accept it and make it fully your own.
Amen.","Dear Lord,
Help me keep my eyes on you. You are the incarnation of Divine Love, you are the expression of God's infinite compassion, you are the visible manifestation of the Father's holiness. You are beauty, goodness, gentleness, forgiveness, and mercy. In you all can be found. Outside of you nothing can be found. Why should I look elsewhere or go elsewhere? You have the words of eternal life, you are food and drink, you are the Way, the Truth, and the Life. You are the light that shines in the darkness, the lamp on the lampstand, the house on the hilltop. You are the perfect Icon of God. In and through you I can see the Heavenly Father, and with you I can find my way to him. O Holy One, Beautiful One, Glorious One, be my Lord, my Savior, my Redeemer, my Guide, my Consoler, my Comforter, my Hope, my Joy, and my Peace. To you I want to give all that I am. Let me be generous, not stingy or hesitant. Let me give you allâ€”all that I have, think, do, and feel. It is yours, O Lord. Please accept it and make it fully your own.
Amen.","Dear Lord,
Help me keep my eyes on you. You are the incarnation of Divine Love, you are the expression of God's infinite compassion, you are the visible manifestation of the Father's holiness. You are beauty, goodness, gentleness, forgiveness, and mercy. In you all can be found. Outside of you nothing can be found. Why should I look elsewhere or go elsewhere? You have the words of eternal life, you are food and drink, you are the Way, the Truth, and the Life. You are the light that shines in the darkness, the lamp on the lampstand, the house on the hilltop. You are the perfect Icon of God. In and through you I can see the Heavenly Father, and with you I can find my way to him. O Holy One, Beautiful One, Glorious One, be my Lord, my Savior, my Redeemer, my Guide, my Consoler, my Comforter, my Hope, my Joy, and my Peace. To you I want to give all that I am. Let me be generous, not stingy or hesitant. Let me give you allâ€”all that I have, think, do, and feel. It is yours, O Lord. Please accept it and make it fully your own.
Amen.",""
"Scripture quotations marked (NLT) are taken from the Holy Bible, New Living Translation, copyright Â©1996, 2004, 2015 by Tyndale House Foundation. Used by permission of Tyndale House Publishers, Carol Stream, Illinois 60188. All rights reserved.","Romans 14:19 (NLT)","Let us aim for harmony in the church and try to build each other up.","Let me aim for harmony in the church and try to build others up.","So then, let us aim for harmony in the church and try to build each other up.","1/23\/23"
"","Fulbert of Chartres, 970–1028","","","How brief is our span of life compared with the time since you created the universe. How tiny we are compared with the enormity of your universe. How trivial are our concerns compared with the complexity of your universe. How stupid we are compared with the genius of your creation. Yet during every minute and every second of our lives you are present, within and around us. You give your whole and undivided attention to each and every one of us. Our concerns are your concerns. And you are infinitely patient with our stupidity. I thank you with all my heartâ€”knowing that my thanks are worthless compared to your greatness.
Amen.",""
"","Scottish Liturgy","","","Worship and praise belong to you, God our maker.
Where nothing was you wove the web of being,
and still you draw the universe to its fulfillment.
Dawn and evening celebrate your glory
til time shall be no more.
In Christ your Son,
the life of heaven and earth were joined,
sealing the promise of a new creation,
given, yet still to come.
Taught by your Spirit,
we who bear your threefold likeness
look for the City of Peace
in whose light we are transfigured
and the earth transformed.
Amen.",""
"From [_Morning Litany for Lent_](https:/\/godspacelight.com\/2015\/02\/11\/morning-litany-for-lent\/)","Christine Sine","","","LetÂ the God of creation breathe on you,
LetÂ the God of life sustain you,
LetÂ the God of all Gods grant you forgiveness.
WeÂ are cleansed by the mercy of God,
WeÂ are surrounded by the love of Christ,
WeÂ are filled with the power of the Spirit.
Amen.",""
"","The opening blessing of The Divine Liturgy of St. John Chrysostom","Blessed is the kingdom of the Father, and of the Son, and of the Holy Spirit,
now and ever and forever.","Blessed is the kingdom of the Father, and of the Son, and of the Holy Spirit,
now and ever and forever.","Blessed is the kingdom of the Father, and of the Son, and of the Holy Spirit,
now and ever and forever.",""
"","St. Ignatius of Loyola, 1491–1556","","","May it please the supreme and divine Goodness to give us all abundant grace
ever to know his most holy will
and perfectly to fulfill it.",""
"Scripture quotations marked (NIrV) are taken from the Holy Bible, New International Reader’s Version®, NIrV® Copyright © 1995, 1996, 1998, 2014 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIrV” and “New International Reader’s Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","2 Peter 3:18 (NIrV)","","","Grow in the grace and knowledge of our Lord and Savior Jesus Christ.
Glory belongs to him both now and forever. Amen.",""
"The Message is a registered trademark of NavPress, The Navigators.","Philippians 4:7 (The Message)","","","Don't fret or worry. Instead of worrying, pray. Let petitions and praises shape your worries into prayers, letting God know your concerns. Before you know it, a sense of God's wholeness, everything coming together for good, will come and settle you down. It's wonderful what happens when Christ displaces worry at the center of your life.",""
"","Psalm 119:10-11 (NIV)","We seek you with all our heart; do not let us stray from your commands. We have hidden your word in our hearts that we might not sin against you.","I seek you with all my heart; do not let me stray from your commands. I have hidden your word in my heart that I might not sin against you.","I seek you with all my heart; do not let me stray from your commands. I have hidden your word in my heart that I might not sin against you.",""
"Scripture quotations marked (NIV) are taken from the Holy Bible, New International Version®, NIV®. Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIV” and “New International Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","1 Thessalonians 5:23 (NIV)","","","May God himself, the God of peace, sanctify you through and through. May your whole spirit, soul and body be kept blameless at the coming of our Lord Jesus Christ.",""
"","St. Teresa of Calcutta, 1910–1997","Give us a heart as beautiful, pure, and spotless as yours.
A heart like yours, so full of love and humility.
May we be able to receive Jesus as the Bread of Life,
to love Him as you loved Him,
to serve Him under the mistreated face of the poor.
We ask this through Jesus Christ our Lord. Amen.","Give me a heart as beautiful, pure, and spotless as yours.
A heart like yours, so full of love and humility.
May I be able to receive Jesus as the Bread of Life,
to love Him as you loved Him,
to serve Him under the mistreated face of the poor.
I ask this through Jesus Christ our Lord. Amen.","Give us a heart as beautiful, pure, and spotless as yours.
A heart like yours, so full of love and humility.
May we be able to receive Jesus as the Bread of Life,
to love Him as you loved Him,
to serve Him under the mistreated face of the poor.
We ask this through Jesus Christ our Lord. Amen.",""
"Scripture quotations marked (NIrV) are taken from the Holy Bible, New International Reader’s Version®, NIrV® Copyright © 1995, 1996, 1998, 2014 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIrV” and “New International Reader’s Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Micah 6:8 (NIrV)","","","The Lord has shown you what is good.
He has told you what he requires of you.
You must act with justice.
You must love to show mercy.
And you must be humble as you live in the sight of your God.",""
"","The Divine Liturgy of St. John Chrysostom","","","We venerate Your cross, O Christ, and we praise and glorify Your holy resurrection. You are our God. We know no other than You, and we call upon Your name. Come, all faithful, let us venerate the holy resurrection of Christ. For behold, through the cross joy has come to all the world. Blessing the Lord always, let us praise His resurrection. For enduring the cross for us, he destroyed death by death.",""
"","Henri Nouwen, 1932–1996","Help us, O Lord, to let our old selves die, to let us die to the thousand big and small ways in which we are still building up our false selves and trying to cling to our false desires. Let us be reborn in you and see through you the world in the right way, so that all our actions, words, and thoughts can become a hymn of praise to you.","Help me, O Lord, to let my old self die, to let me die to the thousand big and small ways in which I am still building up my false self and trying to cling to my false desires. Let me be reborn in you and see through you the world in the right way, so that all my actions, words, and thoughts can become a hymn of praise to you.","Help me, O Lord, to let my old self die, to let me die to the thousand big and small ways in which I am still building up my false self and trying to cling to my false desires. Let me be reborn in you and see through you the world in the right way, so that all my actions, words, and thoughts can become a hymn of praise to you.",""
"","Celtic prayer","","","My Fortress
The Sacred Three
My fortress be
Encircling me
Come and be round
My hearth and my home.",""
"Scripture quotations marked (NLT) are taken from the Holy Bible, New Living Translation, copyright Â©1996, 2004, 2015 by Tyndale House Foundation. Used by permission of Tyndale House Publishers, Carol Stream, Illinois 60188. All rights reserved.","Ephesians 5:2 (NLT)","","","Live a life filled with love, following the example of Christ. He loved us and offered himself as a sacrifice for us, a pleasing aroma to God.",""
"","Pedro Arrupe Gondra, 1907–1991","","","Grant me, O Lord, to see everything now with new eyes,
to discern and test the spirits
that help me read the signs of the times,
to relish the things that are yours, and to communicate them to others.",""
"From _The Life, Experience, and Gospel Labours of the Rt. Rev. Richard Allen_","Richard Allen, 1760–1831","","","O, crucified Jesus! In whom I live, and without whom I dieâ€¦ inflame my heart with Thy holy love, that I may no longer esteem the vanities of this world, but place my affections entirely on Thee.
Let my last breath, when my soul shall leave my body, breathe forth love to Thee, my God; I entered into life without acknowledging Thee, let me therefore finish it in loving Thee; O let the last act of life be love, remembering that God is love.
Amen",""
"From _Thou, Dear God: Prayers That Open Hearts and Spirits_, a collection of Dr. King's prayers edited by Lewis V. Baldwin","Dr. Martin Luther King, Jr.","","","O God, make us willing to do your will, come what may. Increase the number of persons of good will and moral sensitivity. Give us renewed confidence in nonviolence and the way of love as taught by Christ. Amen.",""
"From _Thou, Dear God: Prayers That Open Hearts and Spirits_, a collection of Dr. King's prayers edited by Lewis V. Baldwin","Dr. Martin Luther King, Jr.","","","God remove all bitterness from my heart and give me the strength and courage to face any disaster that comes my way.",""
"","Walter Brueggemann","","","God of our times, our years, our days.
You are the God of our work, of our rest, of our weariness.
Our times are in your hands. We come to you now
in our strength and in our weakness,
in our hope and in our despair,
in our buoyancy and in our disease.
We come to pray for ourselves and for all like us
who seek and yearn for life anew with you and from you and for you.
So we pray with our mothers and fathers, ""Come, Lord Jesus.""
We wait for your coming with all the graciousness we can muster.
Amen.",""
"","Pedro Arrupe Gondra, 1907–1991","","","Teach me your way of looking at people:
as you glanced at Peter after his denial,
as you penetrated the heart of the rich young man
and the hearts of your disciples.
I would like to meet you as you really are,
since your image changes those with whom you
come into contact.
Remember John the Baptist's first meeting with you?
And the centurion's feeling of unworthiness?
And the amazement of all those who saw miracles
and other wonders?
How you impressed your disciples,
the rabble in the Garden of Olives,
Pilate and his wife
and the centurion at the foot of the crossâ€¦
I would like to hear and be impressed
by your manner of speaking,
listening, for example, to your discourse in the
synagogue in Capharnaum
or the Sermon on the Mount where your audience
felt you â€œtaught as one who has authority.â€",""
"From _Thou, Dear God: Prayers That Open Hearts and Spirits_, a collection of Dr. King's prayers edited by Lewis V. Baldwin","Dr. Martin Luther King, Jr, 1929–1968","","","O thou Eternal God, out of whose absolute power and infinite intelligence the whole universe has come into being.
We humbly confess that we have not loved thee with our hearts, souls and minds, and we have not loved our neighbors as Christ loved us. We have all too often lived by our own selfish impulses rather than by the life of sacrificial love as revealed by Christ. We often give in order to receive, we love our friends and hate our enemies, we go the first mile but dare not travel the second, we forgive but dare not forget.
And so as we look within ourselves we are confronted with the appalling fact that the history of our lives is the history of an eternal revolt against thee. But thou, O God, have mercy upon us. Forgive us for what we could have been but failed to be. Give us the intelligence to know thy will. Give us the courage to do thy will. Give us the devotion to love thy will. In the name and spirit of Jesus we pray. Amen.",""
"","The Apostles' Creed, 5th Century","","","I believe in God, the Father almighty,
creator of heaven and earth.
I believe in Jesus Christ, God's only Son, our Lord,
who was conceived by the Holy Spirit,
born of the Virgin Mary,
suffered under Pontius Pilate,
was crucified, died, and was buried;
he descended to the dead.
On the third day he rose again;
he ascended into heaven,
he is seated at the right hand of the Father,
and he will come to judge the living and the dead.
I believe in the Holy Spirit,
the holy catholic Church,
the communion of saints,
the forgiveness of sins,
the resurrection of the body,
and the life everlasting. Amen.",""
"","Origen, 184–253","Jesus, our feet are dirty. Come even as a slave to us, pour water into your bowl, come and wash our feet. In asking such a thing we know we are overbold, but we dread what was threatened when you said to us, â€œIf I do not wash your feet I have no fellowship with you.â€ Wash our feet then, because we long for your companionship.","Jesus, my feet are dirty. Come even as a slave to me, pour water into your bowl, come and wash my feet. In asking such a thing I know I am overbold, but I dread what was threatened when you said to me, â€œIf I do not wash your feet I have no fellowship with you.â€ Wash my feet then, because I long for your companionship.","Jesus, my feet are dirty. Come even as a slave to me, pour water into your bowl, come and wash my feet. In asking such a thing I know I am overbold, but I dread what was threatened when you said to me, â€œIf I do not wash your feet I have no fellowship with you.â€ Wash my feet then, because I long for your companionship.",""
"Scripture quotations marked (NIV) are taken from the Holy Bible, New International Version®, NIV®. Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIV” and “New International Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","2 Peter 1:2-3 (NIV)","","","Grace and peace be yours in abundance through the knowledge of God and of Jesus our Lord.",""
"","The Divine Liturgy of St. John Chrysostom","","","We give thanks to You, invisible King. By Your infinite power You created all things and by Your great mercy You brought everything from nothing into being. Master, look down from heaven upon those who have bowed their heads before You; they have bowed not before flesh and blood but before You the awesome God. Therefore, Master, guide the course of our life for our benefit according to the need of each of us. Sail with those who sail; travel with those who travel; and heal the sick, Physician of our souls and bodies.",""
"","St. Ambrose of Milan, 339–397","","","O Lord, who hast mercy upon all, take away from me my sins, and mercifully kindle in me the fire of thy Holy Spirit. Take away from me the heart of stone, and give me a heart of flesh, a heart to love and adore thee, a heart to delight in thee, to follow and to enjoy thee, for Christ's sake. ",""
"","St. John of the Cross, 1542–1591","","","O blessed Jesus, give me stillness of soul in you.
Let your mighty calmness reign in me;
Rule me, O King of gentleness, King of peace.
Give me control, great power of self-control,
Control over my words, thoughts and actions.
From all irritability, lack of meekness, lack of gentleness, dear Lord, deliver me.
By your own deep patience, give me patience.
Make me in this and all things more and more like you.
Amen.",""
"Adapted from a prayer by Sir Francis Drake","Archbishop Desmond Tutu","","","Disturb us, O Lord
when we are too well-pleased with ourselvesÂ 
when our dreams have come true because we dreamed too little,Â 
because we sailed too close to the shore.
Disturb us, O Lord
when with the abundance of things we possess,Â 
we have lost our thirst for the water of lifeÂ 
when, having fallen in love with time,Â 
we have ceased to dream of eternityÂ 
and in our efforts to build a new earth,Â 
we have allowed our vision of Heaven to grow dim.
Stir us, O Lord
to dare more boldly, to venture into wider seasÂ 
where storms show Thy mastery,Â 
where losing sight of land, we shall find the stars.
In the name of Him who pushed back the horizons of our hopesÂ 
and invited the brave to follow.
Amen",""
"","St. Peter Canisius, 1521–1597","","","See, O merciful God, what return 
I, your thankless servant, have made 
for the innumerable favors 
and the wonderful love you have shown me! 
What wrongs I have done, what good left undone! 
Wash away, I beg you, these faults and stains 
with your precious blood, most kind Redeemer, 
and make up for my poverty by applying your merits. 
Give me the protection I need to amend my life. 
I give and surrender myself wholly to you, 
and offer you all I possess, 
with the prayer that you bestow your grace on me, 
so that I may be able to devote and employ 
all the thinking power of my mind 
and the strength of my body in your holy service, 
who are God blessed for ever and ever.Â  Amen.",""
"","Psalm 143: 8, 10 (NIV)","","","Let the morning bring me word of your unfailing love, for I have put my trust in you. Show me the way I should go, for to you I lift up my soul. Teach me to do your will, for you are my God; may your good Spirit lead me on level ground.",""
"","Edward Bouverie Pusey, 1800–1882","Good Jesus, our God and our all,
Be all to us,
Be all to us,
That we may be all yours,
And all your will ours.
Make us cheerful under every cross,
For love of your cross;
Take from us all which displeases you,
Or hinders your love in us,
That we may deeply love you.
Melt us with your love,
That we may be all love,
And with our whole being love you.
Good Jesus, who gave yourself for us,
Give us of the fullness of your love,
That for all your love,
With your love, we may love you.
Amen.","Good Jesus, my God and my all,
Be all to me,
Be all to me,
That I may be all yours,
And all your will mine.
Make me cheerful under every cross,
For love of your cross;
Take from me all which displeases you,
Or hinders your love in me,
That I may deeply love you.
Melt me with your love,
That I may be all love,
And with my whole being love you.
Good Jesus, who gave yourself for me,
Give me of the fullness of your love,
That for all your love,
With your love, I may love you.
Amen.","Good Jesus, my God and my all,
Be all to me,
Be all to me,
That I may be all yours,
And all your will mine.
Make me cheerful under every cross,
For love of your cross;
Take from me all which displeases you,
Or hinders your love in me,
That I may deeply love you.
Melt me with your love,
That I may be all love,
And with my whole being love you.
Good Jesus, who gave yourself for me,
Give me of the fullness of your love,
That for all your love,
With your love, I may love you.
Amen.",""
"Scripture quotations marked (NIrV) are taken from the Holy Bible, New International Reader’s Version®, NIrV® Copyright © 1995, 1996, 1998, 2014 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIrV” and “New International Reader’s Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Hebrews 13:20-21 (NIrV)","","","Our Lord Jesus is the great Shepherd of the sheep. The God who gives peace brought him back from the dead. He did it because of the blood of the eternal covenant. Now may God supply you with everything good. Then you can do what he wants. May he do in us what is pleasing to him. We can do it only with the help of Jesus Christ. Give him glory for ever and ever. Amen.",""
"","Clement of Rome, 35–99","We ask you, Master, be our helper and defender. Rescue those of our number in distress; raise up the fallen; assist the needy; heal the sick; turn back those of your people who stray; feed the hungry; release our captives; revive the weak; encourage those who lose heart.","I ask you, Master, be my helper and defender. Rescue me when I am in distress; raise me up when I am fallen; assist me when I am needy; heal me when I am sick; turn me back when I stray; feed me when I am hungry; release me when I am captives; revive me when I am weak; encourage me when I lose heart.","We ask you, Master, be our helper and defender. Rescue those of our number in distress; raise up the fallen; assist the needy; heal the sick; turn back those of your people who stray; feed the hungry; release our captives; revive the weak; encourage those who lose heart.",""
"","St. Augustine of Hippo, 354–430","","","Breathe in me, O Holy Spirit, that my thoughts may all be holy.
Act in me, O Holy Spirit, that my work, too, may be holy.
Draw my heart, O Holy Spirit, that I may love only what is holy.
Strengthen me, O Holy Spirit, that I may defend all that is holy.
Guard me, O Holy Spirit, that I myself may always be holy.
Amen.",""
"Scripture quotations marked (NIrV) are taken from the Holy Bible, New International Reader’s Version®, NIrV® Copyright © 1995, 1996, 1998, 2014 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIrV” and “New International Reader’s Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Psalm 29:11 (NIrV)","The Lord gives strength to us. The Lord blesses us with peace.","The Lord gives me strength. The Lord blesses me with peace.","The Lord gives strength to his people. The Lord blesses his people with peace.","8/1\/22"
"""A Prayer of Unknowing"" from _Thoughts in Solitude_","Thomas Merton, 1915–1968","","","My Lord God, I have no idea where I am going. I do not see the road ahead of me. I cannot know for certain where it will end. Nor do I really know myself, and the fact that I think I am following Your will does not mean that I am actually doing so. But I believe that the desire to please You does in fact please You. And I hope I have that desire in all that I am doing. I hope that I will never do anything apart from that desire. And I know that, if I do this, You will lead me by the right road, though I may know nothing about it.
Therefore I will trust You always though I may seem to be lost and in the shadow of death. I will not fear, for You are ever with me, and You will never leave me to face my perils alone.
Amen.",""
"","G.K. Chesterton, 1847–1936","","","O God of earth and altar,
Bow down and hear our cry;
Our earthly rulers falter,
Our people drift and die;
The walls of gold entomb us,
The swords of scorn divide;
Take not thy thunder from us,
But take away our pride.
From all that terror teaches,
From lies of tongue and pen,
From all the easy speeches
That comfort cruel men,
From sale and profanation
Of honor and the sword,
From sleep and from damnation,
Deliver us, good Lord!
Amen.",""
"Scripture quotations marked (NLT) are taken from the Holy Bible, New Living Translation, copyright Â©1996, 2004, 2015 by Tyndale House Foundation. Used by permission of Tyndale House Publishers, Carol Stream, Illinois 60188. All rights reserved.","Ephesians 6:24 (NLT)","","","May God's grace be eternally upon all who love our Lord Jesus Christ.",""
"From _Morning Prayer For Fellow-Prisoners_","Dietrich Bonhoeffer, 1906– 1945","","","I'm feeble in heart, but with you there's help;
I'm restless, but with you there's peace.
In me there's bitterness, but with you there's patience;
I don't understand your ways,
But you know the way for me.",""
"Scripture quotations marked (NIV) are taken from the Holy Bible, New International Version®, NIV®. Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIV” and “New International Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","2 Thessalonians 2:16-17 (NIV)","","","May our Lord Jesus Christ himself and God our Father, who loved us and by his grace gave us eternal encouragement and good hope, encourage your hearts and strengthen you in every good deed and word.",""
"","St. Ambrose of Milan, 337–397","O Lord, who has mercy upon all, take away from us our sins,
and mercifully kindle in us the fire of Your Holy Spirit.
Take away from us the heart of stone,
and give us a heart of flesh,
a heart to love and adore You,
a heart to delight in You,
to follow and to enjoy You,
for Christ's sake.","O Lord, who has mercy upon all, take away from me my sins,
and mercifully kindle in me the fire of Your Holy Spirit.
Take away from me the heart of stone,
and give me a heart of flesh,
a heart to love and adore You,
a heart to delight in You,
to follow and to enjoy You,
for Christ's sake.","O Lord, who has mercy upon all, take away from me my sins,
and mercifully kindle in me the fire of Your Holy Spirit.
Take away from me the heart of stone,
and give me a heart of flesh,
a heart to love and adore You,
a heart to delight in You,
to follow and to enjoy You,
for Christ's sake.",""
"Scripture quotations marked (NIV) are taken from the Holy Bible, New International Version®, NIV®. Copyright © 1973, 1978, 1984, 2011 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIV” and “New International Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Psalm 25:21 (NIV)","","","May integrity and uprightness protect me,
because my hope, Lord, is in you.",""
"","Maya Angelou","","","Thank you for your presence
during the hard and mean days.
For then we have you to lean upon.
Thank you for your presence
during the bright and sunny days,
for then we can share that which we have
with those who have less.
And thank you for your presence
during the Holy Days, for then we are able
to celebrate you and our families
and our friends.",""
"","The Divine Liturgy of St. John Chrysostom","","","Lord Jesus Christ, our God, hear us from Your holy dwelling place and from the glorious throne of Your kingdom. You are enthroned on high with the Father and are also invisibly present among us. Come and sanctify us, and let Your pure Body and precious Blood be given to us by Your mighty hand and through us to all Your people.",""
"","St. Augustine of Hippo, 354–430","","","O Lord,
the house of my soul is narrow;
enlarge it that you may enter in.
It is ruinous, O repair it!
It displeases your sight.
I confess it, I know.
But who shall cleanse it,
to whom shall I cry but to you?
Cleanse me from my secret faults, O Lord,
and spare your servant from strange sins.",""
"","Thomas A Kempis, 1380–1471","","","Grant me, O Lord, to know what I ought to know,
to love what I ought to love,
to praise what delights Thee most,
to value what is precious in Thy sight,
to hate what is offensive to Thee.
Do not suffer me to judge according to the sight of my eyes,
nor to pass sentence according to the hearing of the ears of ignorant men;
but to discern with a true judgement between things visible and spiritual,
and above all things always to inquire what is the good pleasure of Thy will.",""
"A prayer by Jesuits in the concentration camp at Dachau during World War II","Litany of the Saints","","","Lord, have mercy,
Christ, have mercy,
Lord, have mercy.
Christ, hear us,
Christ, graciously hear us.

God, our Father in heaven, Have mercy on us.
God the Son, Redeemer of the World, Have mercy on us.
God the Holy Spirit, Have mercy on us.
Holy Trinity, one God, Have mercy on us.",""
"Scripture quotations marked (NIrV) are taken from the Holy Bible, New International Reader’s Version®, NIrV® Copyright © 1995, 1996, 1998, 2014 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIrV” and “New International Reader’s Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Romans 15:13 (NIrV)","May the God who gives hope fill us with great joy. May we have perfect peace as we trust in him. May the power of the Holy Spirit fill us with hope.","May the God who gives hope fill me with great joy. May I have perfect peace as I trust in him. May the power of the Holy Spirit fill me with hope.","May the God who gives hope fill you with great joy. May you have perfect peace as you trust in him. May the power of the Holy Spirit fill you with hope.","8/1\/22"
"","The Divine Liturgy of St. John Chrysostom","","","May the blessing of the Lord and His mercy come upon you through His divine grace and love always, now and forever and to the ages of ages.",""
"","A Celtic Prayer, c.450–c.700","","","O Son of God,
perform a miracle for me: change my heart.
You, whose crimson blood redeems mankind, whiten my heart.
It is you who makes the sun bright and the ice sparkle;
you who makes the rivers flow and the salmon leap.
Your skilled hand made the nut tree blossom, and the corn turn golden;
your spirit composed the songs of the birds and the buzz of the bees.
Your creation is a million wondrous miracles, beautiful to behold.
I ask of you just one more miracle: beautify my soul.
Amen.",""
"","Reinhold Niebuhr, 1892–1971","","","Lord, we pray this day mindful of the sorry confusion of our world. Look with mercy upon this generation of your children so steeped in misery of their own contriving, so far strayed from your ways and so blinded by passions. We pray for the victims of tyranny, that they may resist oppression with courage. We pray for wicked and cruel men, whose arrogance reveals to us what the sin of our own hearts is like when it has conceived and brought forth its final fruit.
We pray for ourselves who live in peace and quietness, that we may not regard our good fortune as proof of our virtue, or rest content to have our ease at the price of other men's sorrow and tribulations.
We pray for all who have some vision of your will, despite the confusions and betrayals of human sin, that they may humbly and resolutely plan for and fashion the foundations of a just peace between men, even while they seek to preserve what is fair and just among us against the threat of malignant powers.
Amen.",""
"Scripture quotations marked (NIrV) are taken from the Holy Bible, New International Reader’s Version®, NIrV® Copyright © 1995, 1996, 1998, 2014 by Biblica, Inc.™ Used by permission of Zondervan. All rights reserved worldwide. www.zondervan.com 
The “NIrV” and “New International Reader’s Version” are trademarks registered in the United States Patent and Trademark Office by Biblica, Inc.™","Psalm 121:7-8 (NIrV)","The Lord will keep us from every kind of harm. He will watch over our lives. The Lord will watch over our lives no matter where we go,Â both now and forever.","The Lord will keep me from every kind of harm. He will watch over my life. The Lord will watch over my life no matter where I go,Â both now and forever.","The Lord will keep you from every kind of harm. He will watch over your life. The Lord will watch over your life no matter where you go,Â both now and forever.","8/1\/22"
"","St. Brendan of Clonfert, 484– 577","","","Help me to journey beyond the familiar
and into the unknown.

Give me the faith to leave old ways
and break fresh ground with You.
Â 
Christ of the mysteries, I trust You
to be stronger than each storm within me.

I will trust in the darkness and know
that my times, even now, are in Your hand.

Tune my spirit to the music of heaven,
and somehow, make my obedience count for You.",""
"","Thomas Ã  Kempis, 1380–1471","","","Grant me, O Lord, to know what is worth knowing,
to love what is worth loving,
to praise what delights you most,
to value what is precious to you,
and to reject whatever is evil in your eyes.
Give me true discernment,
so that I may judge rightly between things that differ.
Above all, may I search out and do
what is pleasing to you;
through Jesus Christ my Lord.
Amen.",""
"Scripture quotations marked (NLT) are taken from the Holy Bible, New Living Translation, copyright Â©1996, 2004, 2015 by Tyndale House Foundation. Used by permission of Tyndale House Publishers, Carol Stream, Illinois 60188. All rights reserved.","Luke 6:36 (NLT)","","","You must be compassionate, just as your Father is compassionate.",""
"From faithandworship.com","John Birch","","","May the God of peace
bring peace to this house.
May the Son of peace
bring peace to this house.
May the Spirit of peace
bring peace to this house,
this night and all nights",""
"Scripture quotations marked (NLT) are taken from the Holy Bible, New Living Translation, copyright Â©1996, 2004, 2015 by Tyndale House Foundation. Used by permission of Tyndale House Publishers, Carol Stream, Illinois 60188. All rights reserved.","Psalm 51:10 (NLT)","Create in us clean hearts, O God.
Renew loyal spirits within us.","Create in me a clean heart, O God.
Renew a loyal spirit within me.","Create in me a clean heart, O God.
Renew a loyal spirit within me.",""
"","Psalm 84:1-2 (NIV)","How lovely is your dwelling place, O Lord Almighty! Our souls yearn, even faints, for the courts of the Lord; our hearts and our flesh cry out for the living God.","How lovely is your dwelling place, O Lord Almighty! My soul yearns, even faints, for the courts of the Lord; my heart and my flesh cry out for the living God.","How lovely is your dwelling place, O Lord Almighty! My soul yearns, even faints, for the courts of the Lord; my heart and my flesh cry out for the living God.",""
"","Habakkuk 3:19 (NIV)","The Sovereign Lord is our strength; he makes our feet like the feet of a deer, he enables us to go on the heights.","The Sovereign Lord is my strength; he makes my feet like the feet of a deer, he enables me to go on the heights.","The Sovereign Lord is my strength; he makes my feet like the feet of a deer, he enables me to go on the heights.",""
